學年度,學士班(日間),學士班(進修),碩士班(日間),碩士在職專班,博士班
106,6541,45,1973,727,429
107,6579,86,1934,714,419
108,6504,126,1933,746,407
109,6460,179,1930,807,432
110,6482,217,1955,804,427
111,6534,227,2018,815,433
112,6721,248,2144,800,425
113,6792,263,2223,749,443
